SourceType,DataAnalysisChapter,DataAnalysisContext,DataAnalysisUse,MathFoundationsSupport,CurrentNotesPages,FutureMFLabels,FutureMFTarget,SourceFile,SourceLine
Integrated Callout,1,Expectation,Expectation,"If we collect the possible outcomes into a vector $\mathbf{x}=(x_1,\ldots,x_m)^T$ and the probabilities into a vector $\mathbf{p}=(p_1,\ldots,p_m)^T$, then \[ \mathbb{E}[X] = \mathbf{p}^T\mathbf{x}. \] Thus expectation can be viewed as an inner product between a probability vector and an outcome vector. The probability vector must have nonnegative entries that sum to one. This connects the statistical idea of a weighted average to the linear algebra idea of an inner product. See MathFoundationsNotes.pdf, p. 7 for probability vectors and p. 16 for dot products and weighted-sum examples.",p. 7; p. 16,mf:probability-vectors; mf:vectors-rn; mf:vector-entries-subvectors; mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:probability-vectors`, `mf:vectors-rn`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,209
Integrated Callout,1,Covariance and Correlation,Covariance and Correlation,"For observed data, sample correlation can be interpreted geometrically. If we center two data vectors by subtracting their sample means, then their sample correlation is the cosine of the angle between the centered vectors. This is why correlation measures linear alignment: two centered data vectors pointing in nearly the same direction have correlation near $1$; two pointing in opposite directions have correlation near $-1$; and two nearly orthogonal centered vectors have correlation near $0$. See MathFoundationsNotes.pdf, pp. 16--18 for inner products, Euclidean norms, distance, angles, and orthogonality.",pp. 16--18,mf:vectors-rn; mf:vectors-as-data; mf:vector-arithmetic; mf:centered-vectors; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:angles; mf:orthogonality; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch01_Data_Analysis_as_Statistical_Learning_v3.tex,304
Integrated Callout,2,Mean Squared Error,Mean Squared Error,"Let $\mathbf{y}=(y_1,\ldots,y_n)^T$ be the vector of observed responses and let $\hat{\mathbf{y}}=(\hat y_1,\ldots,\hat y_n)^T$ be the vector of predictions. The residual vector is \[ \mathbf{e}=\mathbf{y}-\hat{\mathbf{y}}. \] Using the Euclidean norm, \[ \|\mathbf{e}\| = \sqrt{e_1^2+\cdots+e_n^2}, \] the empirical MSE can be written as \begin{equation} \operatorname{MSE}=\frac{1}{n}\|\mathbf{y}-\hat{\mathbf{y}}\|^2. \label{eq:ch2-mse-norm} \end{equation} Thus MSE is a scaled squared distance between the observed response vector and the fitted response vector. This geometric view will become especially useful when we later interpret least squares regression as a projection problem. See MathFoundationsNotes.pdf, pp. 16--18 for dot products, $\mathbf{a}^T\mathbf{a}$, Euclidean norms, and distance between vectors.",pp. 16--18,mf:vectors-rn; mf:vectors-as-data; mf:vector-arithmetic; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:least-squares-projection-bridge; mf:least-squares-objective; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`, `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,55
Integrated Callout,2,Parametric Methods,Parametric Methods,"The term $\boldsymbol{\beta}^T\mathbf{X}$ is an inner product. It is also a linear combination of the entries of $\mathbf{X}$ with coefficients $\beta_1,\ldots,\beta_p$. This is why linear models connect naturally to the vector notation from Math Foundations: the model turns a feature vector into a prediction by weighting its components and adding the weighted components together. See MathFoundationsNotes.pdf, pp. 9--10 for scalar multiplication and linear combinations, and p. 16 for the inner product.",pp. 9--10; p. 16,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:scalar-multiplication; mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch03 Vector Operations and Linear Combinations: `mf:scalar-multiplication`, `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,325
Integrated Callout,2,Mean Squared Error,Mean Squared Error,"Let $\mathbf{y}$ be the response vector, $\widehat{\mathbf{y}}$ the prediction vector, and $\mathbf{e}=\mathbf{y}-\widehat{\mathbf{y}}$ the residual vector. Then \begin{equation} \operatorname{MSE}=\frac{1}{n}\|\mathbf{y}-\widehat{\mathbf{y}}\|^2. \label{eq:ch2-mse-norm} \end{equation} Thus empirical MSE is a scaled squared distance. See MathFoundationsNotes.pdf, pp. 16--18 for dot products, norms, and vector distance.",pp. 16--18,mf:vectors-rn; mf:vectors-as-data; mf:vector-arithmetic; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:matrices-dimensions; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch02_Prediction_Error_Flexibility_Generalization_v3.tex,427
Integrated Callout,3,"Data Tables, Observations, and Variables","Data Tables, Observations, and Variables","In linear algebra, a vector is a collection of entries that pertain to the same object or concept. In data analysis, a numeric variable can be viewed as a vector of observed values, and a full numeric data table can be viewed as a matrix whose columns are variable vectors. This perspective helps later when we discuss design matrices, regression, and projections. For cleaning, it helps us remember that operations applied to a column should make sense for the type of object that column represents. See MathFoundationsNotes.pdf, pp. 6--7 for vector entries and pp. 23--24 for matrices, matrix dimensions, and special matrices.",pp. 6--7; pp. 23--24,mf:vectors-rn; mf:vectors-as-data; mf:vector-entries-subvectors; mf:least-squares-projection-bridge; mf:matrices-dimensions; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:vector-entries-subvectors`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,45
Integrated Callout,3,Fixing Data Types and Standardizing Variables,Fixing Data Types and Standardizing Variables,"Subsetting is a set operation. The row set $I$ identifies which observations remain. The column set $J$ identifies which variables remain. Thinking in sets helps avoid vague language such as ``we removed bad rows.'' A defensible cleaning rule should be expressible as a clear predicate, such as ``remove rows where weight is missing or impossible.'' See MathFoundationsNotes.pdf, pp. 11--15 for set membership, set difference, subsets, families of sets, quantifiers, and negating quantified statements.",pp. 11--15,mf:quantifiers; mf:quantifier-negation; mf:set-membership; mf:set-operations; mf:subsets; mf:vectors-as-data; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`; Ch04 Sets, Set Operations, and Quantifiers: `mf:quantifiers`, `mf:quantifier-negation`, `mf:set-membership`, `mf:set-operations`, `mf:subsets`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,194
Integrated Callout,3,"Data Tables, Observations, and Variables","Data Tables, Observations, and Variables","A numeric variable column is a vector of observed values, and a numeric data table is a matrix whose columns are variable vectors. See MathFoundationsNotes.pdf, pp. 6--7 for vectors and pp. 23--24 for matrix notation.",pp. 6--7; pp. 23--24,mf:vectors-rn; mf:vectors-as-data; mf:matrices-dimensions; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex,328
Integrated Callout,4,A Numeric Variable as a Vector,A Numeric Variable as a Vector,"A vector is an ordered collection of quantities that pertain to the same object or concept. In EDA, a variable column is a vector of observed values. Dot products, sums, centered vectors, and norms give compact ways to express means, variances, covariances, and correlations. See MathFoundationsNotes.pdf, pp. 6--7 for vector notation and pp. 16--18 for dot products, sample-mean examples, norms, distances, angles, and orthogonality.",pp. 6--7; pp. 16--18,mf:vectors-rn; mf:vectors-as-data; mf:vector-arithmetic; mf:centered-vectors; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:vector-distance; mf:angles; mf:orthogonality; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:vector-distance`, `mf:angles`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,42
Integrated Callout,4,A Numeric Variable as a Vector,A Numeric Variable as a Vector,"A variable column is a vector of observed values. Dot products, sums, centered vectors, and norms give compact ways to write means, variances, covariances, and correlations. See MathFoundationsNotes.pdf, pp. 6--7 and pp. 16--18.",pp. 6--7 and pp. 16--18,mf:vectors-rn; mf:vectors-as-data; mf:vector-arithmetic; mf:centered-vectors; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:angles; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:angles`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,418
Integrated Callout,4,"Covariance, Correlation, and Heatmaps","Covariance, Correlation, and Heatmaps","If $\tilde{\mathbf{x}}=\mathbf{x}-\bar{x}\mathbf{1}$ and $\tilde{\mathbf{y}}=\mathbf{y}-\bar{y}\mathbf{1}$, then correlation is a normalized dot product: \begin{equation} r_{xy}=\frac{\tilde{\mathbf{x}}^T\tilde{\mathbf{y}}}{\|\tilde{\mathbf{x}}\|\,\|\tilde{\mathbf{y}}\|}. \label{eq:ch4-correlation-centered-vectors} \end{equation} This is why correlation measures linear alignment between centered data vectors.",,mf:vectors-rn; mf:vectors-as-data; mf:ones-vector; mf:vector-arithmetic; mf:centered-vectors; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:angles; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:ones-vector`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`, `mf:centered-vectors`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:angles`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex,504
Integrated Callout,5,Data Notation,Data Notation,"A variable column is a vector in $\mathbb{R}^n$; see MathFoundationsNotes.pdf, pp. 6--7 for $\mathbb{R}^n$ vector notation and the ones vector. The dot product and Euclidean norm give compact ways to write sums of products and sums of squared deviations; see MathFoundationsNotes.pdf, pp. 16--18 for dot products, $\mathbf{1}^T\mathbf{a}$, norms, and orthogonality. This is why least squares can be written both as a calculus problem and as a geometry problem.",pp. 6--7; pp. 16--18,mf:vectors-rn; mf:vectors-as-data; mf:ones-vector; mf:vector-arithmetic; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:least-squares-objective; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:ones-vector`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,94
Integrated Callout,5,Matrix and Geometry View,Matrix and Geometry View,"The matrix notation below uses the design matrix, transposes, matrix-vector multiplication, dot products, norms, and orthogonality. These supporting concepts appear in MathFoundationsNotes.pdf, pp. 23--25 for matrix notation, transposes, and matrix-vector multiplication; pp. 16--18 for dot products, Euclidean norms, and orthogonality.",pp. 23--25; pp. 16--18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch05_Simple_Linear_Regression_Model_Assumptions_Least_Squares_Estimation_v3.tex,422
Integrated Callout,6,Review: The Mean-Only Baseline Model,Review: The Mean-Only Baseline Model,"A response column $(y_1,\ldots,y_n)^T$ is a vector in $\mathbb{R}^n$, and the mean-only fitted vector can be written as $\bar{y}\mathbf{1}$. See MathFoundationsNotes.pdf, pp. 6--7 for $\mathbb{R}^n$ vector notation and the ones vector. The sums of squared deviations below are squared Euclidean norms; see pp. 16--17 for dot products and norms.",pp. 6--7; pp. 16--17,mf:vectors-rn; mf:vectors-as-data; mf:ones-vector; mf:vector-arithmetic; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`, `mf:ones-vector`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,44
Integrated Callout,6,Regression Sum of Squares,Regression Sum of Squares,"The decomposition in \eqref{eq:ch6-sum-of-squares-decomposition} is a geometry statement. It relies on the residual vector being orthogonal to the fitted-value direction after centering. Dot products, norms, and orthogonality are covered in MathFoundationsNotes.pdf, pp. 16--18.",pp. 16--18,mf:vectors-rn; mf:vectors-as-data; mf:vector-arithmetic; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vectors-as-data`; Ch03 Vector Operations and Linear Combinations: `mf:vector-arithmetic`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,110
Integrated Callout,6,From Fit Quality to Hypothesis Testing,From Fit Quality to Hypothesis Testing,"Hypotheses are mathematical statements, and hypothesis testing depends on understanding logical alternatives and negation. Basic logical statements, negation, and truth-table reasoning appear in MathFoundationsNotes.pdf, pp. 1--3.",pp. 1--3,mf:logic-statements; mf:logic-negation; mf:data-analysis-bridge-index,"Ch01 Logic and Deductive Reasoning: `mf:logic-statements`, `mf:logic-negation`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,258
Integrated Callout,6,The $F$-Statistic,The $F$-Statistic,"The phrase leftover degrees of freedom is a dimension idea. The residual variation lives in directions left over after fitting the intercept and slope. Linear independence, bases, and the fact that a linearly independent set of $n$-vectors can have at most $n$ elements are introduced in MathFoundationsNotes.pdf, p. 20. Orthogonality, which underlies the residual-space interpretation, is on p. 18.",p. 20; p. 18,mf:vectors-as-data; mf:ones-vector; mf:orthogonality; mf:linear-independence; mf:bases; mf:dimension; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-as-data`, `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:orthogonality`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch06_Simple_Linear_Regression_Fit_Quality_R2_Hypothesis_Testing_v3.tex,301
Integrated Callout,7,The Big Picture,The Big Picture,"This chapter uses vector notation in \(\mathbb{R}^n\), the ones vector \(\mathbf{1}\), linear combinations, dot products, norms, orthogonality, matrix notation, transpose notation, and matrix-vector multiplication. These appear in MathFoundationsNotes.pdf, pp. 6--10 and pp. 16--25.",pp. 6--10 and pp. 16--25,mf:vectors-rn; mf:ones-vector; mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:ones-vector`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch07_Linear_Regression_as_Projection_Design_Matrix_Hat_Matrix_v3.tex,33
Integrated Callout,7,Projection Onto One Vector,Projection Onto One Vector,"The projection formula uses dot products, squared lengths, and orthogonality. Dot products and Euclidean norms appear in MathFoundationsNotes.pdf, pp. 16--18.",pp. 16--18,mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:least-squares-projection-bridge; mf:data-analysis-bridge-index,"Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-projection-bridge`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch07_Linear_Regression_as_Projection_Design_Matrix_Hat_Matrix_v3.tex,110
Integrated Callout,7,The Normal Equations from Orthogonality,The Normal Equations from Orthogonality,"The step from \(\mathbf{X}^T\mathbf{e}=\mathbf{0}\) to the normal equations uses matrix transpose notation and matrix-vector multiplication. Matrix notation and transpose appear in MathFoundationsNotes.pdf, pp. 23--24. Matrix-vector multiplication as row inner products and column linear combinations appears on p. 25.",pp. 23--24; p. 25,mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:least-squares-normal-equations; mf:data-analysis-bridge-index,"Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-normal-equations`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch07_Linear_Regression_as_Projection_Design_Matrix_Hat_Matrix_v3.tex,192
Integrated Callout,7,Dimensions and Degrees of Freedom,Dimensions and Degrees of Freedom,"The dimension claim depends on linear independence and bases. A set of linearly independent \(n\)-vectors can have at most \(n\) elements, and a basis provides unique linear-combination coordinates. See MathFoundationsNotes.pdf, pp. 20--21.",pp. 20--21,mf:vectors-rn; mf:vector-entries-subvectors; mf:linear-independence; mf:bases; mf:dimension; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:vector-entries-subvectors`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`, `mf:dimension`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch07_Linear_Regression_as_Projection_Design_Matrix_Hat_Matrix_v3.tex,419
Integrated Callout,8,The Big Picture,The Big Picture,"This chapter uses vector notation, the ones vector, dot products, orthogonality, matrix dimensions, matrix transposes, linear independence, bases, matrix-vector multiplication, and left-inverse intuition. These appear in MathFoundationsNotes.pdf, especially pp. 6--7, pp. 16--18, pp. 20--25, and pp. 59--62.","pp. 6--7, pp. 16--18, pp. 20--25; pp. 59--62",mf:vectors-rn; mf:ones-vector; mf:dot-product; mf:inner-product-weighted-sums; mf:orthogonality; mf:linear-independence; mf:bases; mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:matrix-inverse; mf:left-inverse; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`, `mf:ones-vector`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:orthogonality`; Ch06 Linear Independence, Span, Bases, and Dimension: `mf:linear-independence`, `mf:bases`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch08_Degrees_of_Freedom_Subspaces_Identifiability_v3.tex,33
Integrated Callout,9,The Big Picture,The Big Picture,"This chapter uses vector notation, matrix dimensions, matrix-vector multiplication, column-space ideas, linear combinations, dot products, transposes, orthogonality, and rank/full-column-rank intuition. These appear in MathFoundationsNotes.pdf, especially pp. 6--7, pp. 16--18, pp. 23--25, pp. 67--69, and pp. 37--38.","pp. 6--7, pp. 16--18, pp. 23--25, pp. 67--69; pp. 37--38",mf:vectors-rn; mf:linear-combinations; mf:dot-product; mf:inner-product-weighted-sums; mf:orthogonality; mf:matrices-dimensions; mf:transpose; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:rank; mf:full-column-rank; mf:column-space; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch03 Vector Operations and Linear Combinations: `mf:linear-combinations`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:rank`, `mf:full-column-rank`; Ch11 Subspaces: Column Space, Row Space, and Null Space: `mf:column-space`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch09_Multiple_Linear_Regression_in_Practice_v3.tex,32
Integrated Callout,10,The Big Picture,The Big Picture,"This chapter uses vector notation, transposes, matrix-vector multiplication, identity matrices, orthogonality, rank, and least-squares normal-equation ideas. In MathFoundationsNotes.pdf, these connections appear on pp. 6--7 (vectors), pp. 16--18 (inner products, norms, orthogonality), pp. 23--25 (matrix notation and matrix-vector multiplication), pp. 59--60 and pp. 67--69 (left inverses, rank, and full column rank), and pp. 104--105 plus pp. 120--122 (least squares, normal equations, and the \(\mathbf{A}^T\mathbf{A}\) Hessian).",pp. 6--7; pp. 16--18; pp. 23--25; pp. 59--60 and pp. 67--69; pp. 104--105 plus pp. 120--122,mf:vectors-rn; mf:dot-product; mf:inner-product-weighted-sums; mf:norms-euclidean; mf:orthogonality; mf:matrices-dimensions; mf:transpose; mf:identity-matrix; mf:matrix-vector-row-view; mf:matrix-vector-column-view; mf:matrix-inverse; mf:left-inverse; mf:rank; mf:full-column-rank; mf:least-squares-objective; mf:least-squares-normal-equations; mf:hessian; mf:data-analysis-bridge-index,"Ch02 Vectors in R^n: `mf:vectors-rn`; Ch05 Dot Products, Norms, Distance, Angles, and Orthogonality: `mf:dot-product`, `mf:inner-product-weighted-sums`, `mf:norms-euclidean`, `mf:orthogonality`; Ch07 Matrices and Matrix-Vector Multiplication: `mf:matrices-dimensions`, `mf:transpose`, `mf:identity-matrix`, `mf:matrix-vector-row-view`, `mf:matrix-vector-column-view`; Ch10 Matrix Inverses, Rank, and Pseudoinverses: `mf:matrix-inverse`, `mf:left-inverse`, `mf:rank`, `mf:full-column-rank`; Ch12 Multivariable Functions, Gradients, and Least Squares: `mf:least-squares-objective`, `mf:least-squares-normal-equations`; Ch13 Hessians, Quadratic Forms, and Second-Order Conditions: `mf:hessian`; Appendix A Data Analysis Bridge Index: `mf:data-analysis-bridge-index`",Ch10_Truth_Error_Estimator_Behavior_Residual_Geometry_v3.tex,32
